fid,kind,ir,tau,t_cut,h,weak_before,weak_after,hot_before,hot_after,weak_long_before,weak_long_after,t_delay,c_delay
F066,steady,0.5830112480670114,-1,-1.1449397008386586,32.010161289222545,0.05372250423011844,,0.07445008460236886,,61,0,-999,-999
F067,steady,0.6165785703377952,-1,-1.1130104638946892,31.672010798131122,0.01311336717428088,,0.05456852791878172,,8,0,-999,-999
F068,steady,1.004678961321312,-1,-0.7432275380315656,27.77092336759418,0.0,,0.0,,0,0,-999,-999
F069,step0,0.6725600420732184,1340,-1.0597608879799547,31.108064648162813,0.0,0.34096858638743455,0.0,0.987565445026178,0,224,57,19
F070,half,1.1503416750715016,1001,-0.5853145900549851,26.56997799153799,0.0,0.09319764327798608,0.0,0.5356186395286556,0,75,454,436
F071,steady,0.6619569444607226,-1,-1.0698465544289606,31.214878132891574,0.12690355329949238,,0.31091370558375636,,205,0,-999,-999
F072,never,0.0,-1,-1.2239,32.8464,0.11590524534686972,,0.3003384094754653,,62,0,-999,-999
F073,regime,0.599429119251769,676,-1.1293230217677173,31.84477093848153,0.0,0.020985401459854013,0.0,0.010036496350364963,0,17,813,825
F074,steady,0.5562354425016434,-1,-1.1704088470924368,32.279895399326946,0.014382402707275803,,0.29145516074450084,,16,0,-999,-999
F075,step0,0.9254059320595482,1387,-0.8192538774249577,28.560945721618523,0.0056625141562853904,0.32545577312626606,0.020385050962627407,0.9993247805536799,4,261,10,0
F076,step0,0.6265206492167551,1686,-1.1035535584650225,31.571856283920255,0.051607445008460234,0.18358714043993232,0.44839255499153974,0.5313028764805414,55,58,689,2
F077,steady,0.7234464892800804,-1,-1.0113576993967874,30.595444756290327,0.00338409475465313,,0.0012690355329949238,,5,0,-999,-999
F078,never,0.0,-1,-1.2239,32.8464,0.10279187817258884,,0.4890016920473773,,59,0,-999,-999
F079,half,0.7570768054001175,1085,-0.9793685427034082,30.256659677760297,0.008605851979345954,0.0,0.5421686746987951,0.13236118900729107,4,0,-1086,32
F080,steady,0.8017391433905547,-1,-0.9368857268069043,29.806740217312232,0.020727580372250424,,0.10236886632825719,,26,0,-999,-999
F081,half,1.1086447182007155,972,-0.6305182609986043,26.91375689185056,0.0,0.13449367088607594,0.0,0.6503164556962026,0,56,95,111
F082,steady,0.5687642414422313,-1,-1.1584914535401496,32.15368278455925,0.0,,0.0,,0,0,-999,-999
F083,half,1.1210851802776405,1250,-0.6170315560610099,26.81118901416494,0.0,0.07972805933250927,0.0,0.3399258343634116,0,49,1018,1018
F084,never,0.0,-1,-1.2239,32.8464,0.11336717428087986,,0.32148900169204736,,99,0,-999,-999
F085,regime,0.618727670361065,1142,-1.1109662399525548,31.650361194316705,0.08307210031347963,0.0,0.012539184952978056,0.005793742757821553,22,0,-1143,482
F086,steady,0.6727657582151135,-1,-1.059565210785784,31.10599230489259,0.06472081218274112,,0.19627749576988154,,113,0,-999,-999
F087,regime,0.947027717254528,931,-0.798687235347493,28.343132181921337,0.0,0.15591120289106866,0.0,0.29375322663913267,0,195,46,49
F088,regime,0.9219751030786848,1269,-0.8225172819515549,28.595507206605944,0.0,0.029393370856785492,0.0,0.02564102564102564,0,43,1527,392
F089,steady,0.5932770471482174,-1,-1.1351748727526156,31.90674568243829,0.12521150592216582,,0.6679357021996616,,83,0,-999,-999
F090,never,0.0,-1,-1.2239,32.8464,0.27284263959390864,,1.0,,262,0,-999,-999
F091,half,1.0111564956274903,979,-0.7362052430902377,27.717518040500032,0.0,0.1826363155108523,0.0,0.9354155637903653,0,39,42,9
F092,half,0.7780310302917918,853,-0.9594368839864477,30.04557100704655,0.0028653295128939827,0.05806451612903226,0.0,0.4838709677419355,1,27,443,495
F093,steady,1.227414505589716,-1,-0.5017599344901887,25.934535625764468,0.03257191201353638,,0.17597292724196278,,75,0,-999,-999
F094,half,1.164075382036264,1331,-0.5704258783344862,26.456747697725614,0.2007255139056832,0.09238776837996096,0.313180169286578,0.9388418998048146,114,65,146,0
F095,half,0.7375800844565511,958,-0.9979138236649285,30.4530657452016,0.006607929515418502,0.15549738219895287,0.0,0.7952879581151833,3,263,202,332
F096,steady,1.1605100634569057,-1,-0.5742910402063686,26.48614267981685,0.020727580372250424,,0.11294416243654823,,38,0,-999,-999
F097,steady,0.6348568839863648,-1,-1.0956241319521698,31.48787872209816,0.12648054145516074,,0.868020304568528,,223,0,-999,-999
F098,steady,0.7559690588720153,-1,-0.9804222312009391,30.267818894735093,0.03299492385786802,,0.25888324873096447,,48,0,-999,-999
F099,steady,1.0832589605192284,-1,-0.6580389609011045,27.12305484820712,0.004653130287648054,,0.0,,7,0,-999,-999
